FIPS,EP_POV150,EP_UNEMP,EP_NOHSDP,EP_NOVEH,EP_LIMENG,EP_MINRTY
25001010100,22.3,8.7,3.5,12.3,3.5,20.3
25001010206,10.4,1.1,1.0,7.6,0.0,13.7
25001010208,12.7,2.8,2.0,4.7,0.0,0.1
25001010304,6.8,6.7,1.1,0.9,0.5,8.8
25001010306,17.3,10.0,7.5,2.1,2.4,12.7
25001010400,17.8,0.0,1.1,6.9,0.4,5.0
25001010500,10.0,5.8,0.5,3.2,0.6,1.3
25001010600,11.5,5.5,2.2,5.7,0.2,3.8
25001010700,13.5,4.4,1.2,3.1,0.0,12.3
25001010800,8.1,14.7,1.0,6.3,0.0,4.4
25001010900,9.5,1.9,3.3,6.2,0.1,8.1
25001011002,10.4,12.2,2.6,2.1,0.1,17.7
25001011100,8.8,2.4,1.2,2.9,0.0,0.4
25001011200,9.0,5.0,1.6,6.0,0.4,5.1
25001011300,6.2,3.9,3.1,3.0,0.5,5.1
25001011400,11.6,6.9,1.4,3.0,0.0,4.0
25001011500,9.7,1.0,7.6,0.5,5.7,23.3
25001011600,17.6,13.5,3.8,6.6,1.1,10.5
25001011700,12.1,2.7,1.9,7.0,1.4,1.4
25001011801,7.8,1.0,1.9,6.5,0.0,4.9
25001011802,12.4,4.8,2.1,3.1,0.4,5.0
25001012001,8.6,8.6,5.4,3.1,5.9,16.7
25001012002,20.4,9.3,4.2,6.8,2.0,13.6
25001012101,10.4,3.9,6.2,4.5,1.9,36.5
25001012102,12.7,5.7,5.6,7.6,1.4,13.8
25001012200,1.8,0.2,4.1,2.0,0.3,3.4
25001012502,27.3,8.4,11.7,15.7,4.3,43.4
25001012601,14.9,6.5,3.2,6.2,2.6,19.3
25001012602,14.5,0.8,17.0,4.4,7.6,49.7
25001012700,6.6,3.3,3.7,1.5,7.6,16.7
25001012800,9.2,2.3,5.7,3.6,4.0,10.9
25001012900,14.1,3.4,5.0,0.4,1.0,24.2
25001013002,4.8,1.9,0.7,4.8,0.7,13.9
25001013100,6.3,4.2,3.8,0.0,0.5,4.0
25001013200,7.9,4.1,2.4,3.0,0.0,9.0
25001013300,13.3,4.4,2.5,5.5,0.0,7.5
25001013400,12.2,3.1,0.7,0.5,0.1,4.4
25001013500,4.8,3.1,1.5,0.0,0.3,11.5
25001013600,8.5,2.8,2.8,3.2,0.8,6.6
25001013700,13.5,1.7,6.0,6.7,1.1,8.6
25001013800,6.4,3.5,3.9,1.5,0.5,8.6
25001013900,25.3,1.4,0.4,2.5,0.0,10.0
25001014002,11.6,0.5,4.2,7.0,0.8,14.4
25001014100,12.6,9.9,4.3,10.0,1.1,16.2
25001014300,6.4,7.2,0.0,0.2,0.0,3.0
25001014402,10.0,9.0,7.3,0.4,1.7,14.6
25001014500,12.6,3.0,8.3,4.7,0.0,14.1
25001014600,9.9,3.1,4.7,8.9,2.1,12.1
25001014700,15.2,4.1,4.4,4.4,0.3,12.2
25001014800,31.8,3.3,7.4,20.8,3.3,21.5
25001014900,8.3,5.9,3.1,8.7,0.8,7.9
25001015001,9.3,5.1,3.0,0.5,0.1,10.4
25001015002,18.3,2.7,1.5,6.2,0.0,25.5
25001015100,12.7,5.5,1.7,11.5,0.8,8.8
25001015200,7.8,4.4,1.4,1.5,1.0,3.3
25001015300,36.0,2.0,20.8,21.5,7.6,51.5
25001990000,,,,,,
25003900100,45.2,9.6,15.1,39.8,1.7,35.6
25003900200,42.8,6.4,11.2,19.9,0.0,33.7
25003900300,17.8,5.0,1.4,4.3,0.0,22.7
25003900400,14.1,7.7,6.1,11.2,0.0,15.2
25003900500,13.4,5.9,6.9,5.2,2.8,9.4
25003900600,43.4,16.4,15.1,30.1,0.0,52.1
25003900700,11.0,8.5,4.3,15.4,0.0,7.2
25003900800,6.0,5.3,4.2,2.5,5.1,17.7
25003900900,23.3,6.5,5.3,7.2,0.0,17.9
25003901100,16.5,3.3,9.0,12.9,2.3,13.3
25003911100,9.4,1.5,5.3,0.0,1.4,1.6
25003912100,15.7,4.0,4.3,1.4,0.6,6.1
25003913100,12.1,9.0,5.9,9.8,1.2,8.4
25003914100,11.7,3.7,1.9,4.4,0.5,8.9
25003920101,12.0,1.3,2.2,9.3,0.0,17.2
25003920102,17.3,1.9,2.6,5.7,0.1,16.1
25003921300,33.5,2.1,13.7,8.4,0.0,17.0
25003921400,22.6,10.7,10.4,10.7,1.1,14.2
25003921500,23.0,9.0,4.9,10.1,0.0,9.2
25003922100,21.7,9.3,3.8,17.7,0.3,10.8
25003922200,22.9,3.8,10.7,20.4,0.3,3.9
25003922300,19.9,6.9,4.9,4.7,0.0,3.6
25003923100,10.2,6.2,6.9,4.0,0.9,10.0
25003924100,22.2,8.1,3.7,1.9,0.3,8.0
25003925101,6.4,0.0,3.0,5.2,0.0,26.9
25003925102,17.4,4.3,6.5,7.1,0.1,13.0
25003926100,11.7,3.0,4.6,2.6,0.0,9.2
25003931100,12.8,3.8,8.0,3.2,0.2,7.1
25003931300,16.1,7.7,7.9,1.9,0.0,4.0
25003931400,6.9,2.1,5.1,0.7,0.1,11.5
